Original Name, ,Label,Area,Mean,StdDev,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Length
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0414_HET_P28_M_MD_section006_rep3_contra_594-Arc_20X_Merged.tif,3,13057-8140-8984.tif,1411.594,90.649,26.459,1933.141,1750.576,0,0,1239.426,1317.198,1682.328,1233.025,137.635,-6.323,0.012,127958.922,98897.581,0,0,NaN,1239.426
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0416_HET_P28_F_MD_section002_rep3_contra_594-Arc_20X_Merged.tif,14,28380-12933-15069.tif,24.583,140.421,42.636,2155.518,1740.339,0,0,20.475,2145.281,1740.339,21.612,1.137,0,0.737,3452,2668,0,0,NaN,20.475
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0416_HET_P28_F_MD_section003_rep3_contra_594-Arc_20X_Merged.tif,21,3916-21322-26206.tif,1662.601,130.74,47.728,2386.995,1699.39,0,0,1460.237,1658.441,1651.616,1458.245,96.686,-3.752,0.01,217367.701,168000.319,0,0,NaN,1460.237
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0416_HET_P28_F_MD_section006_rep3_contra_594-Arc_20X_Merged.tif,12,26414-28938-16191.tif,19.408,128.267,40.51,1884.799,1682.328,0,0,15.925,1876.836,1682.328,17.062,1.137,0,0.962,2489.373,1924,0,0,NaN,15.925
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0417_KO_P28_F_MD_section003_rep3_contra_594-Arc_20X_Merged.tif,25,7984-13790-19396.tif,1301.616,109.955,38.994,2301.684,1675.503,0,0,1143.164,1730.102,1675.503,1144.301,1.137,0,0.013,143119.54,110615,0,0,NaN,1143.164
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0417_KO_P28_F_MD_section004_rep3_contra_594-Arc_20X_Merged.tif,8,17399-5787-29217.tif,1429.707,121.896,38.684,2368.226,1434.927,0,0,1256.15,1740.339,1419.571,1256.912,31.849,1.401,0.011,174275.17,134694.731,0,0,NaN,1256.15
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0417_KO_P28_F_MD_section005_rep3_contra_594-Arc_20X_Merged.tif,24,5549-14180-24859.tif,1390.892,118.418,44.268,2296.565,1673.797,0,0,1221.693,1685.74,1668.678,1222.787,11.375,0.48,0.012,164707.089,127299.701,0,0,NaN,1221.693
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0417_KO_P28_F_MD_section006_rep3_contra_594-Arc_20X_Merged.tif,10,23442-22723-24864.tif,1512.514,137.23,39.913,1950.772,1467.345,0,0,1329.011,1286.486,1450.283,1329.71,35.262,1.471,0.011,207562.529,160422.045,0,0,NaN,1329.011
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0418_WT_P28_M_NR_section002_rep3_contra_594-Arc_20X_Merged.tif,6,14125-23243-25869.tif,785.369,102.172,24.885,1798.35,1973.522,0,0,689.375,1455.97,1933.71,685.898,80.761,6.633,0.021,80242.82,62018.503,0,0,NaN,689.375
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0418_WT_P28_M_NR_section004_rep3_contra_594-Arc_20X_Merged.tif,15,29605-22964-25651.tif,921.223,111.789,28.471,2651.458,1677.209,0,0,808.429,2252.204,1614.079,799.646,127.397,-8.985,0.018,102982.77,79593.878,0,0,NaN,808.429
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241108_Ctnnd2_AC0410_HET_P28_F_NR_section003_rep3_contra_594-Arc_20X_Merged.tif,17,30753-9664-5530.tif,1075.192,98.131,24.535,1910.961,1769.914,0,0,943.831,1440.045,1739.202,942.968,62.561,-176.269,0.015,105509.794,81546.977,0,0,NaN,943.831
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241108_Ctnnd2_AC0410_HET_P28_F_NR_section004_rep3_contra_594-Arc_20X_Merged.tif,19,32024-32234-67.tif,1004.03,108.296,27.818,2066.795,1895.036,0,0,881.467,1626.591,1873.424,881.544,44.362,2.811,0.016,108732.456,84037.725,0,0,NaN,881.467
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241108_Ctnnd2_AC0415_KO_P28_F_NR_section002_rep3_bilateral_594-Arc_20X_Merged.tif,1,10938-5886-20136.tif,615.874,108.722,30.677,5110.113,935.006,0,0,540.684,4852.475,853.107,516.414,164.934,-17.634,0.026,66959.013,51751.643,0,0,NaN,540.684
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241108_Ctnnd2_AC0415_KO_P28_F_NR_section004_rep3_contra_594-Arc_20X_Merged.tif,4,13307-6654-13622.tif,1724.706,112.173,24.81,2530.885,1852.949,0,0,1515.556,1773.326,1834.75,1516.256,37.537,-1.376,0.009,193465.311,149526.51,0,0,NaN,1515.556
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241108_Ctnnd2_AC0415_KO_P28_F_NR_section006_rep3_contra_594-Arc_20X_Merged.tif,20,3640-3041-7876.tif,784.075,108.325,30.795,1858.068,1429.808,0,0,688.068,1515.119,1402.509,687.036,55.736,4.551,0.021,84934.591,65644.704,0,0,NaN,688.068
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241108_Ctnnd2_AC0418_WT_P28_M_NR_section003_rep3_bilateral_594-Arc_20X_Merged.tif,23,4274-4246-20372.tif,1253.743,103.07,33.887,5774.968,787.703,0,0,1100.88,5258.554,597.175,1033.966,382.192,-20.251,0.013,129223.608,99875.038,0,0,NaN,1100.88
